Lemma,Galtung Criteria,Classes
"['putin', 'describes', 'u', 'airstrikes', 'syria', 'act', 'aggression', 'dealt', 'serious', 'blow', 'russianus', 'relation']",2,1
"['support', 'opposition', 'u', 'missile', 'strike', 'syria', 'support', 'â', 'saudi', 'arabia', 'â', 'turkey', 'â', 'australia', 'â', 'israel', 'â', 'japan', 'â', 'united', 'kingdom', 'opposition', 'â', 'russia', 'â', 'iran', 'â', 'china']",2,1
"['diplomatic', 'tension', 'escalate', 'turkey', 'iran', 'two', 'country', 'trade', 'accusation', 'role', 'syria', 'conflict', 'middle', 'east']",2,1
"['top', 'military', 'national', 'security', 'adviser', 'urging', 'president', 'donald', 'j', 'trump', 'recent', 'day', 'go', 'plan', 'rapid', 'immediate', 'withdrawal', 'syria']",2,1
"['france', 'accused', 'syria', 'ally', 'using', 'political', 'uncertainty', 'u', 'launch', 'total', 'war', 'oppositionheld', 'area', 'country', 'called', 'new', 'sanction', 'bashar', 'alassads', 'government', 'use', 'chemical', 'weapon']",2,1
"['witnessing', 'today', 'regime', 'aggressive', 'push', 'wrestle', 'aleppo', 'away', 'rebel', 'group', 'impose', 'new', 'reality', 'syrian', 'conflict', 'shift', 'regional', 'international', 'calculation', 'regimeâ', 'favour']",2,1
"['russia', 'accuses', 'u', 'encouraging', 'terrorist', 'syria', 'u', 'say', 'prepared']",2,1
"['2013', 'republican', 'support', 'obamas', 'request', 'permission', 'launch', 'air', 'strike', 'assad', 'regime']",2,1
"['u', 'locked', 'loaded', 'syrian', 'regime', 'us', 'chemical', 'weapon', 'un', 'ambassador', 'nikki', 'haley', 'say', 'president', 'trump', 'told', 'haley', 'defended', 'usled', 'strike', 'syria', 'emergency', 'united', 'nation', 'security', 'council', 'meeting', 'russia', 'condemned', 'military', 'action']",2,1
"['islamic', 'republic', 'denies', 'military', 'force', 'syria', 'say', 'offer', 'military', 'advice', 'assads', 'force', 'fight', 'terrorist', 'group']",2,1
"['strike', 'conducted', 'part', 'operation', 'inherent', 'resolve']",2,1
"['american', 'refusal', 'coordinate', 'antiterrorist', 'campaign', 'u', 'big', 'mistake', 'seriously', 'prepared', 'coordination', 'ready', 'give', 'air', 'support', 'patriotic', 'opposition', 'including', 'socalled', 'free', 'syrian', 'army']",2,1
"['fundamental', 'aim', 'latest', 'operation', 'strike', 'jarablus', 'manbij', 'open', 'corridor', 'moderate', 'rebel', 'turkish', 'official']",2,1
"['iranian', 'analyst', 'air', 'strike', 'syria', 'reflected', 'hypocrisy', 'duplicity', 'american', 'foreign', 'policy']",2,1
"['didnt', 'believe', 'thought', 'obviously', 'untruth', 'rep', 'adam', 'kinzinger', 'president', 'donald', 'j', 'trump', 'ordering', 'rapid', 'withdrawal', 'u', 'military', 'syria', 'president', 'ran', 'saying', 'going', 'defeat', 'isi', 'isi', 'isnt', 'defeated', 'say', 'kinzinger', 'adding', 'belief', 'president', 'decision', 'double', 'triple', 'size', 'isi', 'probably', 'overnight']",2,1
"['daesh', 'know', 'there', 'financial', 'upside', 'activity', 'trying', 'gain', 'know', 'also', 'party', 'conflict', 'selling', 'certain', 'dealer', 'private', 'collector', 'market', 'end', 'buyer']",2,1
"['deal', 'excludes', 'islamic', 'state', 'iraq', 'levant', 'isil', 'group', 'alnusra', 'front', 'listed', 'terrorist', 'group', 'un', 'security', 'council']",2,1
"['u', 'screened', '12', 'hundred', 'socalled', 'â', 'moderateâ', 'rebel', 'trained', 'equipped', 'battle', 'isil', 'syria', 'new', 'policy', 'affect', 'fight', 'syrian', 'president', 'bashar', 'alassad', 'four', 'year', 'conflict', 'u', 'priority', 'syria', 'international', 'ally', 'stand']",2,1
"['inside', 'story', 'month', 'air', 'strike', 'campaign', 'syria', 'kremlin', 'proposing', 'new', 'presidential', 'parliamentary', 'election', 'moscow', 'apparently', 'calling', 'shot', 'damascus', 'isnt', 'call', 'premature', 'could', 'lead', 'political', 'settlement']",2,1
"['ankara', 'belief', 'ypg', 'another', 'agenda', 'apart', 'fighting', 'isil', 'president', 'erdogan', 'accused', 'kurd', 'wanting', 'capture', 'border', 'crossing', 'jarablous', 'link', 'territory', 'eventually', 'declare', 'state']",2,1
"['russian', 'see', 'mr', 'assad', 'bulwark', 'extremist', 'american', 'see', 'mr', 'assad', 'continuing', 'fan', 'flame', 'sectarian', 'conflict']",2,1
"['two', 'briton', 'captured', 'syria', 'january', 'accused', 'member', 'islamic', 'state', 'beatles', 'gang']",2,1
"['kadiza', 'sultana', '16yearold', 'girl', 'promising', 'future', 'went', 'syria', 'join', 'socalled', 'islamic', 'state']",2,1
"['putin', 'erdogan', 'rouhani', 'still', 'far', 'reaching', 'compromise', 'postconflict', 'future', 'syria', 'â', 'ajopinion', 'leonid', 'issaev']",2,1
"['brett', 'mcgurk', 'said', 'would', 'reckless', 'pull', 'troop', 'syria']",2,1
"['terrorist', 'must', 'leave', 'east', 'euphrates', 'dont', 'go', 'remove', 'recep', 'tayyip', 'erdogan']",2,1
"['perfectly', 'executed', 'strike', 'last', 'night', 'trump', 'tweeted', 'could', 'better', 'result', 'mission', 'accomplished']",2,1
"['turkish', 'artillery', 'shelling', 'syrian', 'territory', 'constitutes', 'direct', 'support', 'armed', 'terrorist', 'organisation', 'syrian', 'foreign', 'ministry', 'told', 'un', 'secretary', 'general', 'security', 'councilâ', 'chairman', 'sunday']",2,1
"['russia', 'accused', 'minister', 'denies']",2,1
"['breaking', 'news', 'new', 'national', 'survey', 'show', 'president', 'barack', 'obama', 'swimming', 'strong', 'tide', 'public', 'opinion', 'press', 'case', 'u', 'military', 'strike', 'syria']",2,1
"['syria', 'strike', 'sparked', 'protest', 'white', 'house', 'overnight']",2,1
"['britain', 'prime', 'minister', 'face', 'question', 'parliament', 'uk', 'decision', 'launch', 'coordinated', 'strike', 'syria', 'american', 'french', 'force', 'without', 'parliamentary', 'approval']",2,1
"['calling', 'last', 'week', 'u', 'strike', 'syrian', 'air', 'base', 'game', 'changer', 'british', 'foreign', 'secretary', 'boris', 'johnson', 'said', 'support', 'syrian', 'president', 'toxifying', 'reputation', 'russia', 'suggested', 'sanction', 'could', 'imposed', 'moscow', 'refused', 'change', 'course']",2,1
"['uk', 'france', 'stunned', 'russia', 'turkey', 'sense', 'opportunity', 'advance', 'agenda', 'trump', 'say', 'isil', 'defeated']",2,1
"['turkey', 'summoned', 'u', 'ambassador', 'u', 'state', 'department', 'spokesman', 'said', 'washington', 'regard', 'syria', 'kurdish', 'democratic', 'union', 'party', 'pyd', 'terrorist', 'organisation']",2,1
"['u', 'air', 'strike', 'syria', 'oneoff', 'start', 'military', 'action', 'assads', 'regime']",2,1
"['mexico', 'dangerous', 'country', 'world', 'journalist', 'even', 'dangerous', 'afghanistan', 'syria', 'anabel', 'hernã', 'ndez', 'journalist', '2019', 'recipient', 'dw', 'deutsche', 'welle', 'freedom', 'speech', 'award', 'dw', 'global', 'medium', 'forum', 'via', 'dw', 'freedom']",2,1
"['dutch', 'squadron', 'four', 'f16', 'fighter', 'jet', 'already', 'stationed', 'jordan', 'hitherto', 'limited', 'striking', 'isil', 'position', 'iraq']",2,1
"['latest', 'u', 'secretary', 'state', 'mike', 'pompeo', 'denies', 'giving', 'turkey', 'operation', 'green', 'light', 'military', 'offensive', 'syria']",2,1
"['trump', 'administration', 'new', 'travel', 'restriction', 'need', 'know', 'â', 'new', 'travel', 'restriction', 'certain', 'foreigner', 'chad', 'iran', 'libya', 'north', 'korea', 'somalia', 'syria', 'venezuela', 'yemen', 'â', 'list', 'country', 'notably', 'includes', 'north', 'korea', 'venezuela', 'â', 'restriction', 'travel', 'vary', 'country', 'include', 'phasedin', 'approach', 'â', 'sudan', 'longer', 'list']",2,1
"['feel', 'stay', 'inside', 'aleppo', 'siege', 'going', 'get', 'worse', 'humanitarian', 'crisis', 'going', 'increase', 'say', 'leave', 'fear', 'treated', 'harshly', 'syrian', 'force']",2,1
"['keep', 'cleaning', 'area', 'push', 'terrorist', 'turkey']",2,1
"['right', 'getting', 'along', 'russia']",2,1
"['u', 'commander', 'leading', 'war', 'isi', 'say', 'disagreed', 'president', 'donald', 'j', 'trump', 'decision', 'pull', 'troop', 'syria', 'warns', 'terror', 'group', 'far', 'defeated', 'stark', 'public', 'break', 'president', 'cnns', 'barbara', 'starr', 'report', 'live', 'muscat', 'oman']",2,1
"['tehran', 'crucial', 'supporter', 'syrian', 'government', 'say', 'u', 'caused', 'instability', 'insecurity', 'region']",2,1
"['many', 'westerner', 'join', 'antiisil', 'group', 'dont', 'understand', 'syrian', 'revolution', 'writes', 'malak', 'chabkoun']",2,1
"['smaller', 'syrian', 'rebel', 'group', 'regardless', 'secular', 'islamist', 'extremist', 'orientation', 'face', 'dilemma', 'ramus', 'g', 'khouri']",2,1
"['opinion', 'putin', 'message', 'assad', 'may', 'read', 'follows', 'longer', 'bank', 'sustained', 'russian', 'effort', 'defeat', 'enemy', 'marwan', 'bishara', 'senior', 'political', 'analyst', 'al', 'jazeera', 'writes']",2,1
"['dissent', 'channel', 'cable', 'signed', '51', 'state', 'department', 'official', 'call', 'targeted', 'military', 'strike', 'bashar', 'alassads', 'government']",2,1
"['republican', 'democrat', 'rebuke', 'trump', 'decision', 'pull', 'troop', 'northern', 'syria', 'border', 'turkey']",2,1
"['syrian', 'military', 'offensive', 'backed', 'heavy', 'russian', 'air', 'strike', 'threatens', 'cut', 'critical', 'rebel', 'supply', 'line', 'northern', 'city', 'aleppo', 'peace', 'talk', 'switzerland', 'appear', 'jeopard']",2,1
"['conflict', 'colossal', 'tragedy', 'syria', 'shameful', 'symbol', 'international', 'division', 'historyâ', 'judgement', 'harsh', 'un', 'chief', 'said']",2,1
"['turkeybacked', 'rebel', 'shoot', 'syrian', 'army', 'helicopter', 'amid', 'government', 'offensive', 'idlib']",2,1
"['opinion', 'russian', 'campaign', 'main', 'arbiter', 'syria', 'future', 'offer', 'israel', 'opportunity', 'challenge', 'geoffrey', 'aronson', 'specialist', 'middle', 'east', 'affair', 'writes', 'al', 'jazeera']",2,1
"['one', 'thing', 'pleased', 'serious', 'damage', 'done', 'proassad', 'regime', 'airbase', 'u', 'strike', 'syria', 'another', 'thing', 'fawn', 'donald', 'trump', 'foot', 'malak', 'chabkoun']",2,1
"['made', 'isil', 'u', 'occupation', 'iraq', 'iranian', 'manipulation', 'instability', 'iraq', 'syria', 'cruelty', 'brutality', 'dictator', 'like', 'bashar', 'alassad', 'sectarian', 'cynicism']",2,1
"['israel', 'military', 'carried', 'strike', 'iranian', 'iranaffiliated', 'target', 'syria', 'past']",2,1
"['turkish', 'force', 'enter', 'syria', 'u', 'secretary', 'state', 'defends', 'president', 'trump', 'decision', 'withdraw', 'u', 'troop', 'border']",2,1
"['donald', 'j', 'trump', 'say', 'rival', 'hillary', 'clinton', 'foreign', 'policy', 'plan', 'would', 'trigger', 'world', 'war', 'three']",2,1
"['exclusive', 'interview', 'bbcs', 'middle', 'east', 'editor', 'jeremy', 'bowen', 'syria', 'president', 'assad', 'denies', 'force', 'dropped', 'barrel', 'bomb', 'rebel']",2,1
"['photo', 'democrat', 'nancy', 'pelosi', 'explosive', 'white', 'house', 'meeting', 'syria', 'causing', 'stir']",2,1
"['turkey', 'military', 'operation', 'syria', 'continues', 'seventh', 'day', 'latest', 'update']",2,1
"['there', 'confusion', 'syrian', 'regime', 'us', 'chemical', 'weapon', 'respond', 'strongly', 'really', 'ought', 'think', 'long', 'time', 'bolton', 'said']",2,1
"['nothing', 'drum', 'support', 'sitting', 'president', 'u', 'like', 'ordering', 'strike', 'foreign', 'country', 'via', 'listening', 'post']",2,1
"['turkish', 'request', 'extensive', 'fully', 'met', 'american', 'military', 'might', 'deepening', 'involvement', 'syria', 'instead', 'reducing', 'wall', 'street', 'journal']",2,1
"['breaking', 'news', 'president', 'obama', 'expected', 'make', 'remark', 'syria', '215', 'pm', 'et', 'according', 'senior', 'administration', 'official']",2,1
"['assads', 'rule', 'reason', 'turkishsyrian', 'relation', 'syria', 'current', 'state', 'never', 'change', 'gone', 'country', 'continue', 'suffer']",2,1
"['call', 'turkish', 'president', 'recep', 'tayyip', 'erdogan', 'explaining', 'problem', 'u', 'presence', 'iraq', 'syria', 'irritating', 'president', 'donald', 'j', 'trump', 'according', 'senior', 'administration', 'official']",2,1
"['putin', 'erdogan', 'agree', 'boost', 'economic', 'tie', 'sochi', 'talk', 'little', 'obvious', 'progress', 'syria']",2,1
"['turkey', 'military', 'action', 'syria', 'consequence', 'far', 'beyond', 'safe', 'zone', 'trying', 'establish', 'â', 'ajopinion', 'marwan', 'kabalan']",2,1
"['sure', 'neither', 'united', 'state', 'russia', 'want', 'conflict', 'become', 'socalled', 'proxy', 'war', 'sergey', 'lavrov', 'russia', 'foreign', 'minister', 'said', 'friday', 'multilateral', 'talk', 'vienna']",2,1
"['former', 'top', 'american', 'general', 'overseeing', 'operation', 'middle', 'east', 'lambasted', 'president', 'donald', 'j', 'trump', 'decision', 'pull', 'u', 'troop', 'away', 'syrianturkish', 'border', 'face', 'imminent', 'turkish', 'military', 'offensive', 'america', 'syrian', 'kurdish', 'ally', 'writing', 'tuesday', 'could', 'come', 'worse', 'time']",2,1
"['announcement', 'following', 'russia', 'increasing', 'military', 'involvement', 'syria', 'put', 'pressure', 'u', 'act']",2,1
"['turkey', 'military', 'push', 'syria', 'meet', 'growing', 'backlash', 'amid', 'battle', 'kurdishled', 'force', 'control', 'ra', 'alain']",2,1
"['ban', 'bar', 'people', 'iran', 'libya', 'somalia', 'syria', 'yemen', 'entering', 'u', 'upheld']",2,1
"['turkish', 'tank', 'hundred', 'opposition', 'fighter', 'thrust', 'deep', 'inside', 'syrian', 'territory', 'wednesday', 'lightning', 'operation', 'within', 'hour', 'pushed', 'islamic', 'state', 'iraq', 'levant', 'isil', 'also', 'known', 'isi', 'fighter', 'key', 'syrian', 'border', 'town']",2,1
"['breaking', 'syrian', 'opposition', 'fighter', 'backed', 'turkey', 'taken', 'control', 'northern', 'syrian', 'town', 'dabiq', 'held', 'isil']",2,1
"['syria', 'ever', 'changing', 'battle', 'line', 'become', 'even', 'complex', 'since', 'russian', 'airstrikes', 'began', 'two', 'week', 'ago', 'thousand', 'iranian', 'troop', 'reportedly', 'drafted', 'fight', 'alongside', 'syrian', 'government', 'hezbollah', 'force', 'tug', 'war', 'syria', 'heating', 'russia', 'u', 'lead', 'resolution', 'deeper', 'conflict']",2,1
"['assuming', 'end', 'war', 'suggests', 'fighting', 'stop', 'regime', 'ability', 'control', 'syria', 'samer', 'n', 'abboud']",2,1
"['vladimir', 'putin', 'want', 'launch', 'airstrikes', 'inside', 'syria', 'thats', 'problem', 'donald', 'j', 'trump', 'mogul', 'said']",2,1
"['one', 'largest', 'deliberate', 'engagement', 'conducted', 'date', 'syria', 'debilitating', 'effect', 'daeshâ', 'ability', 'move', 'raqqah']",2,1
"['breaking', 'mustafa', 'bali', 'head', 'sdf', 'medium', 'office', 'said', 'twitter', 'heavy', 'fighting', 'continued', 'around', 'baghouz', 'finish', 'whatever', 'remains', 'isi']",2,1
"['enemy', 'syria', 'islamic', 'state']",2,1
"['syrian', 'government', 'backed', 'russia', 'began', 'bombarding', 'last', 'rebelheld', 'territory', 'idlib', 'april']",2,1
"['kurdish', 'fighter', 'protecting', 'u', 'base', 'northern', 'syria', 'say', 'theyâ', 'betrayed', 'dont', 'expect', 'u', 'help', 'fight', 'turkish', 'force']",2,1
"['syrian', 'kurdish', 'fighter', 'advanced', 'northern', 'city', 'raqqa', 'putting', '50km', 'away', 'de', 'facto', 'capital', 'islamic', 'state', 'iraq', 'levant', 'isil', 'group', 'source', 'told', 'al', 'jazeera']",2,1
"['trump', 'say', 'wipe', 'turkey', 'economy', 'ankara', 'wipe', 'kurdish', 'population', 'syria']",2,1
